TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM
ZONE T="     0.0 seconds"
I=         4, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
    37.834    55.927     0.768     0.256    -0.488    -0.170  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   116.751   101.106     1.147    -0.986     0.530    -0.404  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    62.081    95.880     0.989     0.366    -0.446     0.094  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        3.
   108.991   109.553     1.973    -0.272     0.739    -0.326  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        4.
ZONE T="     5.0 seconds"
I=      2000, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
    40.077    53.085     3.454     0.411     0.144     0.443  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   126.879    52.102     1.717     0.366    -1.231     0.562  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    67.501    44.709     2.598     0.914    -0.524     0.326  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    95.318    50.261     0.407     0.183     0.373     0.004  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   128.813    56.711     0.481     0.234    -0.089    -0.060  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   122.803    49.283     2.436     0.137    -0.323    -0.067  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    36.928    55.907     0.191     0.247     0.520    -0.152  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    97.103    57.170     0.245    -0.296     1.170    -0.411  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   121.671    51.072     0.508    -0.244    -1.194    -0.082  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    92.156    50.308     0.614    -0.119    -0.745     0.160  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   128.204    55.354     1.218    -0.013     0.140    -0.398  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    91.791    50.901     1.156    -0.270    -1.016     0.586  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    71.423    47.107     2.020    -0.109    -1.131     0.411  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    56.622    49.795     2.028    -0.522     0.290    -0.036  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   105.070    45.952     2.379     0.006    -0.431    -0.071  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
